"Title","Author"
"FREEZING ORDER","by Bill Browder"
"THE BODY KEEPS THE SCORE","by Bessel van der Kolk"
"HELLO, MOLLY!","by Molly Shannon with Sean Wilsey"
"LEFT ON TENTH","by Delia Ephron"
"BITTERSWEET","by Susan Cain"
"RECESSIONAL","by David Mamet"
"RED NOTICE","by Bill Browder"
"CRYING IN H MART","by Michelle Zauner"
"STILL JUST A GEEK","by Wil Wheaton"
"PANDORA'S JAR","by Natalie Haynes"
"THE STORYTELLER","by Dave Grohl"
"GREENLIGHTS","by Matthew McConaughey"
"ALL ABOUT LOVE","by bell hooks"
"THE 1619 PROJECT","edited by Nikole Hannah-Jones, Caitlin Roper, Ilena Silverman and Jake Silverstein"
"THE SPLENDID AND THE VILE","by Erik Larson"
"Title","Author"
"FREEZING ORDER","by Bill Browder"
"THE BODY KEEPS THE SCORE","by Bessel van der Kolk"
"HELLO, MOLLY!","by Molly Shannon with Sean Wilsey"
"LEFT ON TENTH","by Delia Ephron"
"BITTERSWEET","by Susan Cain"
"RECESSIONAL","by David Mamet"
"RED NOTICE","by Bill Browder"
"CRYING IN H MART","by Michelle Zauner"
"STILL JUST A GEEK","by Wil Wheaton"
"PANDORA'S JAR","by Natalie Haynes"
"THE STORYTELLER","by Dave Grohl"
"GREENLIGHTS","by Matthew McConaughey"
"ALL ABOUT LOVE","by bell hooks"
"THE 1619 PROJECT","edited by Nikole Hannah-Jones, Caitlin Roper, Ilena Silverman and Jake Silverstein"
"THE SPLENDID AND THE VILE","by Erik Larson"
"Title","Author"
"FREEZING ORDER","by Bill Browder"
"THE BODY KEEPS THE SCORE","by Bessel van der Kolk"
"HELLO, MOLLY!","by Molly Shannon with Sean Wilsey"
"LEFT ON TENTH","by Delia Ephron"
"BITTERSWEET","by Susan Cain"
"RECESSIONAL","by David Mamet"
"RED NOTICE","by Bill Browder"
"CRYING IN H MART","by Michelle Zauner"
"STILL JUST A GEEK","by Wil Wheaton"
"PANDORA'S JAR","by Natalie Haynes"
"THE STORYTELLER","by Dave Grohl"
"GREENLIGHTS","by Matthew McConaughey"
"ALL ABOUT LOVE","by bell hooks"
"THE 1619 PROJECT","edited by Nikole Hannah-Jones, Caitlin Roper, Ilena Silverman and Jake Silverstein"
"THE SPLENDID AND THE VILE","by Erik Larson"
